Name,Bits,SW Access,HW Access,HWQE Access,Default Value,Comment
VERSION0,32,ro,none,0,0,Cheshire sha256 commit
VERSION1,32,ro,none,0,0,Safety Island sha256 commit
VERSION2,32,ro,none,0,0,Security Island sha256 commit
VERSION3,32,ro,none,0,0,PULP Cluster sha256 commit
VERSION4,32,ro,none,0,0,Spatz CLuster sha256 commit
JEDEC_IDCODE,32,rw,none,0,0,JEDEC ID CODE -TODO assign-
GENERIC_SCRATCH0,32,rw,hrw,0,0,Scratch
GENERIC_SCRATCH1,32,rw,hrw,0,0,Scratch
HOST_RST,1,ro,hro,0,0,"Host Domain reset -active high, inverted in HW-"
PERIPH_RST,1,rw,hro,0,0,"Periph Domain reset -active high, inverted in HW-"
SAFETY_ISLAND_RST,1,rw,hro,0,0,"Safety Island reset -active high, inverted in HW-"
SECURITY_ISLAND_RST,1,rw,hro,0,0,"Security Island reset -active high, inverted in HW-"
PULP_CLUSTER_RST,1,rw,hro,0,0,"PULP Cluster reset -active high, inverted in HW-"
SPATZ_CLUSTER_RST,1,rw,hro,0,0,"Spatz Cluster reset -active high, inverted in HW-"
L2_RST,1,rw,hro,0,0,"L2 reset -active high, inverted in HW-"
PERIPH_ISOLATE,1,rw,hro,0,0,Periph Domain  AXI isolate
SAFETY_ISLAND_ISOLATE,1,rw,hro,0,1,Safety Island AXI isolate
SECURITY_ISLAND_ISOLATE,1,rw,hro,0,1,Security Island AXI isolate
PULP_CLUSTER_ISOLATE,1,rw,hro,0,1,PULP Cluster AXI isolate
SPATZ_CLUSTER_ISOLATE,1,rw,hro,0,1,Spatz Cluster AXI isolate
L2_ISOLATE,1,rw,hro,0,0,L2 AXI isolate
PERIPH_ISOLATE_STATUS,1,rw,hwo,0,0,Periph Domain AXI isolate status
SAFETY_ISLAND_ISOLATE_STATUS,1,rw,hwo,0,0,Safety Island AXI isolate status
SECURITY_ISLAND_ISOLATE_STATUS,1,rw,hwo,0,0,Security Island AXI isolate status
PULP_CLUSTER_ISOLATE_STATUS,1,rw,hwo,0,0,PULP Cluster AXI isolate status
SPATZ_CLUSTER_ISOLATE_STATUS,1,rw,hwo,0,0,Spatz Cluster AXI isolate status
L2_ISOLATE_STATUS,1,rw,hwo,0,0,L2 AXI isolate status
PERIPH_CLK_EN,1,rw,hro,0,1,Periph Domain clk gate enable
SAFETY_ISLAND_CLK_EN,1,rw,hro,0,0,Safety Island clk gate enable
SECURITY_ISLAND_CLK_EN,1,rw,hro,0,0,Security Island clk gate enable
PULP_CLUSTER_CLK_EN,1,rw,hro,0,0,PULP Cluster clk gate enable
SPATZ_CLUSTER_CLK_EN,1,rw,hro,0,0,Spatz Cluster clk gate enable
L2_CLK_EN,1,rw,hro,0,1,Shared L2 memory clk gate enable
PERIPH_CLK_SEL,2,rw,hro,0,2,"Periph Domain fll select (0 -> host fll, 1 -> alt fll, 2 -> per fll, 3 -> secd fll)"
